Conditions,Classes
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port > 1.298836350440979 AND Flow_Duration > -0.16071728616952896 AND Flow_Duration <= -0.1525658294558525 AND Flow_IAT_Min <= -0.19403564929962158 AND Flow_IAT_Min > -0.20672287791967392 AND Flow_Duration > -0.15473955124616623 AND Flow_IAT_Min <= -0.19458726793527603,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min > -0.23126991838216782 AND Src_Port > 0.972082644701004 AND Flow_Duration <= -0.16642329841852188 AND Flow_IAT_Min > -0.2243746817111969 AND Flow_Duration > -0.1685970202088356 AND Src_Port <= 1.040113091468811 AND Flow_Duration <= -0.1669667288661003 AND Flow_IAT_Min > -0.2210649698972702 AND Flow_Duration > -0.16723844408988953,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration > -0.17810705304145813 AND Init_Bwd_Win_Byts <= -0.5983056426048279 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration <= -0.1580001339316368 AND Flow_IAT_Min <= -0.24037162214517593 AND Flow_IAT_Min <= -0.24202647805213928 AND Flow_Duration <= -0.16805359721183777,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration > -0.15745670348405838 AND Flow_IAT_Min > -0.24202647805213928 AND Flow_Duration > -0.15664155781269073 AND Init_Bwd_Win_Byts > 1.9950042963027954 AND Flow_Duration > -0.15636984258890152 AND Flow_Duration > -0.1560981273651123 AND Flow_IAT_Min <= -0.24147485941648483,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts > 1.9640784859657288 AND Flow_Duration <= -0.1577284187078476 AND Flow_Duration <= -0.15854356437921524 AND Flow_Duration > -0.1666950136423111 AND Init_Bwd_Win_Byts <= 1.9918599724769592 AND Flow_IAT_Min <= -0.21389392763376236 AND Init_Bwd_Win_Byts <= 1.9917007684707642 AND Init_Bwd_Win_Byts <= 1.9849345088005066,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts <= 1.9640784859657288 AND Init_Bwd_Win_Byts <= 1.9606157541275024 AND Flow_Duration <= -0.15636984258890152 AND Flow_IAT_Min <= -0.24037162214517593 AND Flow_IAT_Min <= -0.24092324078083038 AND Flow_Duration <= -0.15664155781269073 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_IAT_Min <= -0.24312972277402878,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts <= 1.932635247707367 AND Flow_Duration <= -0.17783533781766891 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Flow_IAT_Min > -0.24588781595230103 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.17892219871282578,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_IAT_Min > -0.24699105322360992 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration <= -0.1253943145275116 AND Flow_Duration > -0.1272963210940361 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_IAT_Min > -0.24312972277402878 AND Flow_Duration <= -0.1256660297513008 AND Flow_Duration > -0.1270246058702469,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port > 0.2681964337825775 AND Src_Port > 0.5335628688335419 AND Dst_Port > -0.5455942153930664 AND Flow_IAT_Min <= -0.23126991838216782 AND Flow_Duration <= -0.17810705304145813 AND Src_Port > 0.9361713528633118 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts <= -0.5631608664989471 AND Flow_IAT_Min > -0.24312972277402878,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port <= -0.44733037054538727 AND Init_Bwd_Win_Byts > -0.6017683744430542 AND Flow_Duration > -0.1490335315465927 AND Flow_IAT_Min <= -0.12894463539123535 AND Flow_IAT_Min > -0.24533619731664658 AND Src_Port > -1.05552738904953 AND Flow_IAT_Min > -0.24092324078083038 AND Flow_Duration <= -0.11914486810564995 AND Src_Port <= 1.055550992488861 AND Dst_Port > -0.6098650693893433 AND Src_Port <= 0.8471080362796783 AND Flow_IAT_Min <= -0.22161658853292465,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags > 2.5738614946603775 AND Init_Bwd_Win_Byts <= -0.5981464684009552 AND Init_Bwd_Win_Byts > -0.5993803143501282 AND Flow_Duration > -0.15827184915542603 AND Flow_IAT_Min <= -0.19513888657093048 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_IAT_Min <= -0.2378893420100212 AND Flow_IAT_Min <= -0.24147485941648483 AND Flow_Duration > -0.1580001339316368 AND Flow_Duration <= -0.15338097512722015 AND Flow_IAT_Min <= -0.24257809668779373 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.1560981273651123 AND Flow_Duration > -0.1577284187078476 AND Flow_Duration > -0.15664155781269073,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_Duration <= -0.15501126646995544 AND Flow_Duration > -0.17430303990840912 AND Init_Bwd_Win_Byts <= 1.9845762848854065 AND Flow_Duration > -0.1740313246846199 AND Flow_Duration <= -0.15718498826026917 AND Init_Bwd_Win_Byts <= 1.964914321899414 AND Init_Bwd_Win_Byts <= 1.95436692237854 AND Init_Bwd_Win_Byts <= 0.7024488747119904 AND Flow_Duration > -0.1580001339316368,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port > -0.3370986729860306 AND Init_Bwd_Win_Byts > -0.5835790634155273 AND Init_Bwd_Win_Byts <= -0.5765739977359772 AND Flow_IAT_Min > -0.24533619731664658 AND Flow_Duration > -0.1487618163228035 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration > -0.13544777780771255 AND Flow_IAT_Min <= -0.2177552580833435 AND Flow_Duration <= -0.11751457676291466 AND Flow_Duration <= -0.12294888123869896,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port > 0.7317277193069458 AND Src_Port > 0.762085497379303 AND Init_Bwd_Win_Byts <= 0.7557033598423004 AND Src_Port > 0.7968363761901855 AND Src_Port <= 0.8051873445510864 AND Dst_Port > -0.9260448515415192 AND Init_Bwd_Win_Byts <= -0.29649049043655396,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts <= 0.048628779128193855 AND Dst_Port <= -0.6826541125774384 AND Src_Port > 0.5372099280357361 AND Src_Port <= 0.7045818567276001 AND Src_Port > 0.569867879152298 AND Src_Port > 0.608452320098877 AND Src_Port > 0.6381262838840485 AND Src_Port <= 0.6717995703220367 AND Src_Port <= 0.6611277163028717,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts > -0.5932110548019409 AND Src_Port <= 1.080272376537323 AND Src_Port <= 0.5999148190021515 AND Src_Port <= -0.9390902519226074 AND Dst_Port <= -0.9260448515415192 AND Init_Bwd_Win_Byts <= -0.5520164370536804 AND Src_Port <= -1.0568328499794006,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port > 1.8512156009674072 AND Dst_Port <= 1.8638468384742737 AND Dst_Port > 1.8575577139854431 AND Dst_Port <= 1.8590437769889832 AND Dst_Port <= 1.8583272695541382 AND Init_Bwd_Win_Byts <= 1.9986262321472168 AND Init_Bwd_Win_Byts <= 1.9921783804893494 AND Flow_IAT_Min > -0.24423296004533768 AND Init_Bwd_Win_Byts > 1.9640784859657288 AND Flow_Duration > -0.1577284187078476 AND Init_Bwd_Win_Byts <= 1.9918599724769592 AND Flow_Duration > -0.15664155781269073 AND Flow_Duration <= -0.1558264121413231 AND Flow_IAT_Min <= -0.24202647805213928,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port > 0.8749170005321503 AND Src_Port <= 0.909543514251709 AND Src_Port <= 0.893028050661087 AND Dst_Port <= -0.5620997697114944 AND Src_Port <= 0.8815687596797943 AND Src_Port > 0.8761188685894012,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts > 1.9850937128067017 AND Init_Bwd_Win_Byts > 1.9983078241348267 AND Flow_Duration <= -0.1580001339316368 AND Flow_IAT_Min > -0.24257809668779373 AND Init_Bwd_Win_Byts <= 1.9984670281410217 AND Flow_Duration <= -0.16723844408988953 AND Flow_IAT_Min <= -0.23375219851732254 AND Flow_IAT_Min <= -0.234303817152977 AND Flow_IAT_Min <= -0.24202647805213928,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts > -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.5942458808422089 AND Init_Bwd_Win_Byts <= -0.5932906568050385 AND Src_Port <= 1.201330542564392 AND Init_Bwd_Win_Byts <= -0.593529462814331 AND Src_Port > 0.32153497636318207 AND Src_Port <= 1.0439881086349487 AND Src_Port > 1.0236183404922485 AND Src_Port > 1.0261671543121338 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port > 1.0267266035079956 AND Init_Bwd_Win_Byts > -0.5940866768360138,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port > 0.7317277193069458 AND Src_Port > 0.762085497379303 AND Init_Bwd_Win_Byts <= 0.7557033598423004 AND Src_Port > 0.7968363761901855 AND Src_Port > 0.8051873445510864 AND Flow_IAT_Min <= -0.2376135289669037,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts > -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.5942458808422089 AND Init_Bwd_Win_Byts <= -0.5932906568050385 AND Src_Port <= 1.201330542564392 AND Init_Bwd_Win_Byts > -0.593529462814331 AND Src_Port <= 1.1851466298103333 AND Src_Port <= 0.8817967176437378 AND Src_Port <= 0.3803855627775192 AND Src_Port <= 0.2640727609395981 AND Src_Port > 0.07834112271666527 AND Src_Port > 0.18891391903162003 AND Flow_Duration <= -0.1540602594614029,Scan Hostport
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port <= 0.8123571872711182 AND Src_Port > 0.05121597461402416 AND Src_Port <= 0.7317277193069458 AND Init_Bwd_Win_Byts > 0.048628779128193855 AND Dst_Port <= -0.5052325129508972 AND Dst_Port > -0.7424137890338898 AND Dst_Port <= -0.5392254889011383 AND Src_Port > 0.05616854317486286 AND Init_Bwd_Win_Byts <= 4.162079334259033,Mirai-Hostbruteforceg
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min > -0.23926838487386703 AND Flow_Duration <= -0.11805800721049309 AND Src_Port <= 0.9361713528633118 AND Flow_Duration <= -0.12648117542266846 AND Flow_Duration > -0.14414266496896744 AND Flow_IAT_Min > -0.15376747399568558 AND Flow_IAT_Min > -0.15266423672437668 AND Flow_Duration > -0.1270246058702469 AND Flow_IAT_Min <= -0.138322152197361,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min <= -0.2332005798816681 AND Flow_IAT_Min <= -0.24092324078083038 AND Init_Bwd_Win_Byts > 1.932635247707367 AND Init_Bwd_Win_Byts > 1.9705263376235962 AND Flow_Duration <= -0.1558264121413231 AND Flow_Duration <= -0.15745670348405838 AND Flow_Duration <= -0.1580001339316368 AND Init_Bwd_Win_Byts <= 1.9983078241348267 AND Init_Bwd_Win_Byts <= 1.9850937128067017 AND Flow_IAT_Min > -0.24368134140968323 AND Flow_Duration <= -0.17810705304145813 AND Init_Bwd_Win_Byts > 1.9778896570205688 AND Init_Bwd_Win_Byts <= 1.9849345088005066,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port > -1.1619142889976501 AND Init_Bwd_Win_Byts > -0.5978280305862427 AND Init_Bwd_Win_Byts > -0.5942458808422089 AND Init_Bwd_Win_Byts <= -0.5932906568050385 AND Src_Port <= 1.201330542564392 AND Init_Bwd_Win_Byts <= -0.593529462814331 AND Src_Port > 0.32153497636318207 AND Src_Port > 1.0439881086349487 AND Src_Port <= 1.124182403087616,Normal
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port <= 0.8740052282810211 AND Src_Port > 0.8737565577030182 AND Flow_IAT_Min <= -0.2199617326259613 AND Init_Bwd_Win_Byts <= 2.005392551422119 AND Flow_IAT_Min > -0.24368134140968323 AND Init_Bwd_Win_Byts > 1.9850937128067017 AND Init_Bwd_Win_Byts > 1.9983078241348267 AND Flow_Duration > -0.1580001339316368 AND Flow_IAT_Min <= -0.24257809668779373 AND Init_Bwd_Win_Byts <= 1.998745620250702 AND Flow_Duration <= -0.15473955124616623 AND Flow_Duration > -0.1577284187078476 AND Flow_Duration <= -0.15718498826026917 AND Flow_Duration <= -0.15745670348405838 AND Flow_IAT_Min > -0.24312972277402878,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port > 1.365336298942566 AND Dst_Port > 1.8418747782707214 AND Init_Bwd_Win_Byts > -0.6030022203922272 AND Dst_Port > 1.9655073285102844 AND Dst_Port <= 2.06101131439209 AND Dst_Port > 2.045832633972168 AND Dst_Port <= 2.0517501831054688 AND Flow_Duration <= -0.12838318198919296 AND Flow_Duration <= -0.12865489721298218 AND Flow_IAT_Min <= -0.24312972277402878 AND Init_Bwd_Win_Byts > -0.5981066524982452 AND Flow_Duration <= -0.1291983276605606 AND Flow_Duration <= -0.1343609169125557 AND Bwd_PSH_Flags > 2.5738614946603775 AND Init_Bwd_Win_Byts > -0.5932110548019409,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration <= -0.14957696199417114 AND Src_Port <= 0.2681964337825775 AND Src_Port > -1.2999852895736694 AND Dst_Port > 1.298836350440979 AND Flow_Duration > -0.16071728616952896 AND Flow_Duration <= -0.1525658294558525 AND Flow_IAT_Min > -0.19403564929962158 AND Flow_Duration > -0.15392440557479858 AND Flow_Duration <= -0.15283754467964172 AND Flow_Duration <= -0.15310925990343094 AND Flow_IAT_Min > -0.19238079339265823,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration > -0.14930524677038193 AND Init_Bwd_Win_Byts <= -0.5816287994384766 AND Init_Bwd_Win_Byts > -0.5827034413814545 AND Dst_Port <= -0.9260448515415192 AND Flow_IAT_Min > -0.155146524310112 AND Flow_Duration > -0.12770389765501022,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port <= -0.6557728350162506 AND Flow_Duration <= -0.14930524677038193 AND Src_Port > -1.2714509963989258 AND Init_Bwd_Win_Byts <= -0.5932110548019409 AND Src_Port <= -1.1619142889976501 AND Flow_Duration <= -0.16587986797094345 AND Flow_IAT_Min <= -0.22078915685415268 AND Flow_Duration > -0.17810705304145813 AND Flow_Duration <= -0.17702019214630127 AND Flow_Duration <= -0.17783533781766891,Mirai-HTTP Flooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port <= 0.8734250068664551 AND Dst_Port <= 1.8512156009674072 AND Dst_Port <= 1.676102638244629 AND Flow_Duration <= -0.14930524677038193 AND Dst_Port <= -0.46147421002388 AND Src_Port > 0.8123571872711182 AND Init_Bwd_Win_Byts > -0.4380248039960861 AND Dst_Port <= -0.7527363896369934 AND Src_Port > 0.8133932650089264 AND Dst_Port > -0.9260448515415192 AND Src_Port <= 0.862276554107666 AND Init_Bwd_Win_Byts <= -0.013819856569170952 AND Src_Port <= 0.8435645401477814 AND Flow_Duration <= -0.15338097512722015 AND Src_Port > 0.8196513056755066 AND Flow_IAT_Min <= -0.2276843935251236,MITM ARP Spoofing
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags > 2.5738614946603775 AND Init_Bwd_Win_Byts > -0.5981464684009552 AND Dst_Port <= 1.3522539138793945 AND Dst_Port <= 0.2786225974559784 AND Flow_Duration <= -0.17783533781766891 AND Src_Port > 0.4592536389827728 AND Flow_IAT_Min > -0.24368134140968323 AND Dst_Port > -0.47755520045757294,Mirai-Ackflooding
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts > -0.46345798671245575 AND Src_Port <= 0.8749170005321503 AND Src_Port > 0.8734250068664551 AND Src_Port > 0.8735286295413971 AND Src_Port > 0.8740052282810211 AND Src_Port > 0.874875545501709 AND Flow_IAT_Min > -0.2332005798816681 AND Flow_IAT_Min > -0.21610040217638016 AND Init_Bwd_Win_Byts > 1.988675832748413 AND Flow_Duration > -0.16424958407878876 AND Flow_Duration <= -0.1631627231836319 AND Flow_Duration <= -0.16397786885499954,Scan Port OS
Flow_Duration <= -0.11669943109154701 AND Init_Bwd_Win_Byts <= -0.46345798671245575 AND Flow_IAT_Min > -0.24809429049491882 AND Dst_Port > -0.6557728350162506 AND Dst_Port <= 1.365336298942566 AND Bwd_PSH_Flags <= 2.5738614946603775 AND Src_Port <= 1.096891462802887 AND Flow_Duration > -0.14957696199417114 AND Dst_Port > -0.44733037054538727 AND Flow_Duration > -0.14930524677038193 AND Dst_Port <= -0.3370986729860306 AND Flow_IAT_Min <= -0.23926838487386703 AND Flow_IAT_Min > -0.24699105322360992 AND Flow_IAT_Min > -0.24478457868099213 AND Flow_Duration > -0.1253943145275116 AND Flow_IAT_Min > -0.24368134140968323 AND Src_Port > 0.06431233882904053 AND Flow_Duration <= -0.11697114631533623 AND Flow_IAT_Min <= -0.24312972277402878 AND Flow_Duration > -0.12430745735764503,Mirai-HTTP Flooding
